読む	よむ	читать
致す	いたす	делать (1 лицо)
仰る	おっしゃる	говорить (2, 3 лица)
居る	おる	находиться (1 лицо)
いらっしゃる	おる	приходить, уходить, находиться (2, 3 лица)
参る	まいる	приходить, уходить (1 лицо)
知らせる	しらせる	известить, сообщить
御座る	ござる	иметься
説明書	せつめいしょ	правила пользования, инструкция
お目に掛かる	おめにかかる	встретиться, видеться с кем-л.
御覧に成る	ごらんになる	смотреть (2, 3 лица)
足を滑らせる	あしをすべらせる	поскользнуться
森	もり	лес, роща
色づく	いろづく	окрашиваться, менять цвет
案内	あんない	информация, сопровождение
凄い	すごい	поразительно, здорово
神社	じんじゃ	храм (синтоистский)
注意	ちゅうい	внимание
美しい	いつくしい	красивый, прекрасный
呼ぶ	よぶ	звать, приглашать
少々	しょうしょう	немного, чуть-чуть
利用	りよう	использование
真に	まことに	очень, весьма, действительно
観光	かんこう	туризм, экскурсия
教育	きょういく	образование, преподавание
渡す	わたす	передавать
声	こえ	голос
願う	ねがう	просить
静か	しずかな	тихий, спокойный
願い	ねがい	просьба
右手	みぎて	правая сторона
流れる	ながれる	течь (река, вода)
辞書	じしょ	словарь
旅館	りょかん	японская гостиница
過ごす	すごす	проводить (время)
足元	あしもと	под ноги, под ногами
左手	ひだりて	левая сторона
物語	ものがたり	история, рассказ
美味しい	おいしい	вкусный
到着	とうちゃく	прибытие, прилет
図書室	としょしつ	библиотека
脱ぐ	ぬぐ	Снимать одежду
飛ぶ	とぶ	Летать, прыгать
無くす	なくす	Терять (что-либо)
背広	せびろ	Деловой костюм
会社	かいしゃ	Компания, фирма
並べる	ならべる	Ставить в ряд, выстраивать, расставлять
鼻	はな	Нос
お手洗い	おてあらい	Туалет, уборная, ванная комната
豚肉	ぶたにく	Свинина
鳥肉	とりにく	Курятина
並ぶ	ならぶ	Становиться в ряд, выстраиваться
撮る	とる	Фотографировать, снимать (на камеру)
汚い	きたない	Грязный, запачканный
お酒	おさけ	Алкоголь, саке
銀行	ぎんこう	Банк
郵便局	ゆうびんきょく	Почта
貼る	はる	Наклеивать, облицовывать
石鹸	せっけん	Мыло
大勢	おおぜい	Много людей
黄色い	きいろい	Желтый
薄い	うすい	Тонкий, слабый
辛い	からい	Соленый, перченый, острый
万年筆	まんねんひつ	Авторучка
冷蔵庫	れいぞうこ	Холодильник
地図	ちず	Карта
疲れる	つかれる	Утомляться, уставать
玄関	げんかん	Прихожая, передняя, холл
塩	しお	Соль
頼む	たのむ	Просить, поручать, доверять
食堂	しょくどう	Закусочная, столовая
上着	うわぎ	Верхняя одежда
交番	こうばん	Полицейский пост
八百屋	やおや	Овощная лавка
帽子	ぼうし	Шапка, головной убор
灰皿	はいざら	Пепельница
平仮名	ひらがな	Хирагана
飴	あめ	Ириска, леденец
喫茶店	きっさてん	Кофейня, кафе
入口	いりぐち	Вход, ворота
靴下	くつした	Носки
登る	のぼる	Взбираться, подниматься
大使館	たいしかん	Посольство
牛乳	ぎゅうにゅう	Молоко
台所	だいどころ	Кухня
字引	じびき	Дневник
勤める	つとめる	Служить, работать на кого-то
借りる	かりる	Брать в долг
丸い/円い	まるい	Круглый, шарообразный
鳴く	なく	Чирикать, мычать, блеять
吸う	すう	Курить, вдыхать, сосать
厚い	あつい	Добрый, отзывчивый, толстый, глубокий
洗濯	せんたく	Мытье, стирка
片仮名	かたかな	Катакана
切手	きって	(Почтовая )марка
飛行機	ひこうき	Самолет
強い	つよい	Сильный, крепкий
易しい	やさしい	Простой, легкий
細い	ほそい	Тонкий, стройный, изящный
一緒	いっしょ	Вместе, сообща
結構	けっこう	(1) роскошный, милый, приятный,(2) довольно, приемлемо, сносно
意味	いみ	Значение, смысл
掃除	そうじ（する）	Чистка, уборка
文章	ぶんしょう	Предложение, текст
引く	ひく	Тянуть, тащить
住む	すむ	Жить
戸	と	Дверь (в японском стиле)
死ぬ	しぬ	Умирать
砂糖	さとう	Сахар
走る	はしる	Бежать, бегать
昨夜	ゆうべ	Вчерашний вечер
耳	みみ	Ухо, уши
紅茶	こうちゃ	Черный чай
生まれる	うまれる	Рождать(ся)
公園	こうえん	Общественный парк
言葉	ことば	Слова, язык, речь
緑	みどり	Зеленый цвет, зелень
留学生	りゅうがくせい	Заграничный студент
辺	へん	Участок, пространство, соседство
危ない	あぶない	опасный
夕方	ゆうがた	Вечер
廊下	ろうか	Коридор, проход
太い	ふとい	Толстый, жирный, упитанный
葉書	はがき	Открытка
切る	きる	Резать, рубить
半分	はんぶん	Половина
切符	きっぷ	Билет
誰か	だれか	Кто-то, кто-нибудь
財布	さいふ	Бумажник
交差点	こうさてん	Перекресток
美少女	びしょうじょ	красивая девушка
人間	にんげん	человек
